0 63
63 73
73 85
85 288
288 300
300 478
478 487
487 731
731 740
740 1743
1743 1755
1755 1998
1998 2687
2687 2701
2701 4213
4213 4222
4222 5724
5724 5946
5946 5955
5955 5984
5984 6326
6326 6343
6343 7400
7400 8353
8353 9640
9640 11015
11015 11026
11026 12120
12120 12152
12152 13594
13594 13604
13604 13628
13628 14494
14494 14520
14520 15233
15233 16421
16421 16433
16433 17032
17032 17919
17919 19256
19256 19787
19787 21186
21186 22112
22112 23091
23091 25114
25114 26980
26980 28358
28358 29268
29268 29752
29752 30639
30639 31409
31409 31434
31434 32911
32911 32933
32933 33401
33401 33477
33477 33487
33487 33726
33726 33736
33736 34241
34241 34251
34251 34534
