0 97
108 124
124 1122
1122 1132
1132 2437
2437 2454
2454 3878
3878 5645
5645 6996
6996 7409
7409 7435
7435 8191
8191 8627
8627 10430
10430 10984
10984 10996
10996 11026
11026 11810
11810 11832
11832 12994
12994 13019
13019 13102
13102 14172
14172 14995
14995 15093
15093 15912
15912 15978
15978 16976
16976 16991
16991 18167
18167 20187
20187 21566
21566 24120
24120 25340
25340 26869
26869 27811
27811 28293
28293 28309
28309 28674
28674 29420
29420 29430
29430 29503
29503 29513
29513 29652
29652 29662
29662 29772
