0 85
96 293
303 1453
1453 1467
1467 2525
2525 3490
3490 4700
4700 4709
4709 4788
4788 7366
7366 8711
8711 9518
9518 10464
10464 11033
11033 11893
11893 13892
13892 14360
14360 14404
14404 15539
15539 16568
16568 17080
17080 17133
17133 18258
18258 18321
18321 21072
21072 21154
21154 22436
22436 22750
22750 22762
22762 24681
24681 26354
26354 27167
27167 29256
29256 29832
29832 29855
29855 29869
29869 31338
31338 31350
31350 32184
32184 32195
32195 32450
32450 32472
32472 33224
33224 33251
33251 34587
34587 34622
34622 35073
35073 35096
35096 35778
35778 35837
35837 36757
36757 36787
36787 37334
37334 37345
37345 39906
39906 39917
39917 41596
41596 41607
41607 43320
43320 43331
43331 44343
44343 44354
44354 45896
45896 45907
45907 47316
47316 47327
47327 48189
48189 48200
48200 50754
