0 83
94 1203
1203 2945
2945 5105
5105 6347
6347 7081
7081 7683
7683 7733
7733 9611
9611 11827
11827 12781
12781 12824
12824 14196
14196 14244
14244 14629
14629 14720
14720 15191
15191 15339
15339 16017
16017 16138
16138 16637
16637 16794
16794 17070
17070 17442
17442 17509
17509 19163
19163 21044
21044 22045
22045 22576
22576 23772
23772 24509
24509 24521
24521 27202
27202 28322
28322 30068
30068 31193
31193 32140
32140 33734
33734 35192
35192 36211
36211 38758
38758 38766
38766 39357
39357 39365
39365 40257
40257 40265
40265 41992
41992 42000
42000 42830
42830 42838
42838 43766
43766 43774
43774 44645
