0 119
130 139
139 340
340 349
349 1000
1000 1023
1023 1514
1514 1527
1527 1843
1843 1857
1857 4639
4639 4648
4648 4664
4664 5489
5489 5517
5517 6225
6225 6272
6272 8461
8461 8498
8498 9842
9842 9859
9859 10900
10900 10912
10912 13562
13562 15682
15682 17250
17250 17273
17273 17308
17308 17933
17933 18010
18010 19514
19514 19534
19534 20765
20765 20798
20798 21569
21569 21593
21593 22862
22862 22871
22871 23820
23820 23842
23842 25086
25086 25098
25098 25553
25553 25589
25589 25599
25599 25951
25951 25961
25961 26589
26589 26599
26599 27540
27540 27550
27550 28089
28089 28099
28099 28224
28224 28234
28234 28715
